Home_Goals,Away_Goals,Home_Pos,Away_Pos,Home_Shots,Away_Shots,Home_Shots_On,Away_Shots_On,Home_Fouls,Away_Fouls,Home_Off,Away_Off,Home_Corners,Away_Corners
6,0,56,44,15,12,9,4,9,13,2,1,2,2
1,0,44,56,7,9,2,4,21,10,0,6,8,2
3,1,53,47,12,20,5,9,11,4,7,5,2,9
0,3,51,49,15,15,3,7,14,9,2,3,5,4
1,1,57,43,25,6,5,4,12,9,4,1,10,4
3,1,59,41,19,4,12,2,11,8,5,0,4,2
2,0,27,73,12,9,5,2,17,14,2,0,6,7
2,0,37,63,17,8,6,0,9,12,1,1,11,1
5,0,65,35,23,5,7,2,8,5,2,1,11,2
1,1,27,73,13,11,2,6,9,11,1,3,2,5
0,1,45,55,17,10,6,6,14,9,0,1,7,2
1,0,72,28,21,8,4,2,6,6,2,2,6,3
1,1,54,46,15,10,6,4,10,9,2,0,4,2
0,0,55,45,21,5,4,0,15,10,4,0,7,0
1,3,64,36,13,8,4,4,12,14,2,1,3,1
1,1,72,28,10,5,3,2,13,6,4,3,7,1
2,1,68,32,17,9,3,1,6,9,1,5,9,5
1,1,59,41,13,15,4,3,11,8,2,0,3,8
2,1,24,76,7,12,2,4,9,7,2,5,1,8
2,2,74,26,28,6,9,4,10,9,2,4,11,3
4,2,62,38,24,15,8,6,10,5,1,1,10,1
2,1,71,29,15,19,4,2,14,12,0,1,4,7
4,0,32,68,12,11,7,7,8,6,1,6,3,7
0,1,58,42,10,10,2,5,13,10,0,0,3,4
3,0,55,45,20,4,9,0,8,10,2,0,5,1
2,1,56,44,20,7,5,3,11,11,1,2,6,5
0,0,55,45,9,12,4,3,14,9,2,8,1,7
3,0,53,47,16,9,6,1,11,6,1,0,7,10
2,0,36,64,13,13,5,1,13,15,1,0,5,6
4,3,71,29,19,9,9,3,6,8,1,3,8,3
2,1,39,61,11,7,4,2,12,11,3,2,7,6
4,3,46,54,12,16,7,6,11,10,1,0,5,9
0,3,32,68,5,12,2,4,10,9,2,2,1,4
1,2,27,73,12,14,4,5,10,8,7,1,7,10
2,0,38,62,10,9,4,1,6,10,4,3,2,3
1,0,41,59,11,11,3,2,7,10,5,3,7,3
2,0,51,49,15,16,3,7,17,8,1,1,5,9
2,1,42,58,11,12,1,4,5,9,2,0,2,6
0,0,39,61,3,14,0,2,12,14,3,3,3,10
0,1,29,71,7,10,0,3,15,5,5,0,2,7
0,1,61,39,21,13,11,8,8,8,4,1,7,4
2,1,66,34,10,9,6,2,6,13,5,1,8,5
1,2,72,28,23,8,6,3,7,9,4,4,10,3
1,2,55,45,15,16,6,2,11,11,3,2,7,7
3,0,76,24,24,3,9,0,6,3,3,1,12,1
2,2,54,46,13,13,6,6,9,11,0,4,1,5
1,2,43,57,9,16,2,8,11,9,0,2,5,2
0,2,52,48,9,17,1,4,9,7,1,0,3,10
4,1,60,40,16,9,9,4,7,12,4,4,9,3
0,1,60,40,17,8,2,4,5,8,1,2,6,5
2,1,50,50,9,7,4,5,12,7,2,1,2,1
0,2,35,65,14,16,3,7,10,9,0,0,1,2
0,0,72,28,17,6,6,2,8,11,5,3,7,2
0,3,27,73,5,13,3,4,6,6,6,2,5,3
3,3,57,43,25,11,12,3,9,15,2,2,4,2
5,1,48,52,15,8,10,2,8,13,2,5,5,3
4,1,65,35,11,7,8,3,10,7,6,0,4,5
0,1,62,38,16,12,7,3,14,16,0,1,10,5
0,1,34,66,4,12,0,4,11,8,3,3,3,4
1,0,45,55,11,13,3,4,10,11,2,1,6,6
1,0,43,57,14,9,5,5,12,10,3,2,4,3
1,3,23,77,5,14,4,6,11,10,0,2,3,8
1,1,63,37,12,8,5,2,17,16,1,4,3,6
2,0,43,57,17,11,5,4,15,11,4,1,5,5
1,3,61,39,10,11,3,4,7,7,0,4,6,7
1,1,32,68,12,7,3,4,10,4,1,1,4,9
5,0,57,43,10,14,7,4,5,8,1,3,3,4
0,0,62,38,31,9,5,4,9,11,0,3,12,1
1,2,35,65,11,10,2,4,15,5,0,2,3,4
1,5,49,51,11,13,4,6,11,19,2,2,5,7
3,1,65,35,16,10,10,2,9,13,1,4,5,3
2,1,34,66,10,11,5,4,5,8,1,3,3,7
4,0,75,25,16,6,8,2,7,10,1,1,10,2
1,2,46,54,11,16,5,5,10,3,4,2,4,6
1,1,30,70,11,14,5,5,9,6,0,2,2,0
2,0,57,43,14,10,3,5,8,18,3,2,6,5
3,1,60,40,11,7,6,2,10,14,2,4,1,3
2,3,78,22,19,5,5,3,7,6,2,1,13,0
0,0,53,47,9,4,0,2,9,12,2,4,6,0
0,1,72,28,17,8,5,3,10,9,3,2,9,5
0,2,38,62,11,15,5,6,7,3,4,2,1,10
1,5,26,74,9,17,3,9,13,13,3,0,4,7
1,3,62,38,16,13,5,6,12,9,3,1,8,2
2,6,41,59,10,17,3,8,13,9,4,2,2,1
0,2,52,48,18,11,7,5,9,11,4,2,10,4
3,2,34,66,12,13,7,4,12,10,2,2,4,5
2,0,38,62,10,13,4,3,15,7,4,0,5,3
1,0,70,30,15,4,3,0,7,8,2,1,8,3
3,2,71,29,17,10,8,3,7,5,2,1,5,0
1,2,42,58,6,10,2,3,14,6,5,4,4,1
3,1,67,33,13,9,5,2,7,9,3,2,6,2
1,0,43,57,8,12,1,2,10,8,6,3,4,4
3,1,64,36,36,6,11,2,6,14,2,3,13,2
0,1,73,27,15,8,5,5,5,13,2,1,10,1
0,2,56,44,16,6,4,3,14,10,6,2,6,4
1,0,37,63,14,14,4,1,11,11,2,1,2,7
3,2,48,52,13,8,6,4,10,8,2,0,5,3
4,1,63,37,20,10,11,4,11,15,4,3,10,3
1,0,62,38,14,6,2,0,13,20,2,0,7,1
0,4,40,60,8,10,2,4,9,11,3,2,6,6
2,0,39,61,8,14,5,4,12,11,1,2,1,13
1,0,36,64,13,12,4,1,9,10,4,0,7,7
0,2,42,58,11,7,3,2,12,7,3,1,6,5
2,2,57,43,12,15,5,3,13,13,4,4,6,6
1,2,50,50,12,13,4,6,10,17,0,2,4,6
3,1,52,48,13,18,8,5,7,5,4,2,8,6
1,1,76,24,19,8,3,5,7,18,0,2,14,2
2,2,45,55,10,9,7,4,13,10,2,3,4,4
3,1,61,39,17,9,11,5,10,10,2,5,10,4
2,1,30,70,6,17,2,3,18,10,2,0,1,5
3,1,31,69,9,18,3,5,14,12,0,0,4,5
2,1,33,67,6,23,2,6,14,11,3,0,4,8
1,1,45,55,25,13,7,5,12,7,2,2,10,8
1,3,26,74,10,18,6,12,10,3,6,3,5,9
1,2,30,70,11,15,7,7,4,8,4,6,3,12
3,1,73,27,16,4,6,1,9,3,2,3,8,4
1,2,32,68,7,14,2,6,10,12,1,4,2,7
2,0,59,41,29,4,9,0,9,10,1,2,10,2
1,0,58,42,16,9,3,3,12,7,1,3,8,1
2,0,66,34,16,9,9,4,8,17,0,1,4,6
2,2,40,60,16,11,6,5,12,13,0,2,3,5
4,2,59,41,22,11,7,6,15,17,5,2,8,5
2,0,38,62,7,8,3,0,7,6,1,1,4,8
0,3,59,41,16,7,4,4,10,10,3,3,7,3
2,1,48,52,17,15,3,4,3,12,2,0,7,6
1,2,41,59,11,20,5,4,6,9,4,2,5,8
1,0,71,29,16,7,8,1,12,13,0,1,7,3
3,1,40,60,18,13,9,2,19,12,3,5,4,4
0,0,60,40,12,13,5,2,13,12,2,3,10,3
0,2,45,55,12,14,3,6,9,8,1,1,3,5
1,1,55,45,14,8,3,3,10,7,5,1,6,1
0,3,36,64,5,10,1,7,12,13,4,4,5,5
0,4,31,69,9,9,1,6,6,3,2,3,8,1
1,2,56,44,14,17,4,3,6,11,1,1,5,5
3,2,37,63,10,19,5,8,10,6,4,1,2,5
2,1,39,61,18,14,6,4,9,11,2,2,7,10
2,1,61,39,20,7,6,3,7,21,0,0,4,1
0,0,63,37,22,6,5,1,13,10,1,2,12,1
0,0,69,31,15,6,4,1,7,11,5,7,5,5
2,0,73,27,21,8,7,3,11,9,2,5,6,3
3,1,65,35,17,6,5,1,12,12,0,0,6,1
0,1,35,65,11,11,5,2,12,9,4,1,10,6
1,1,42,58,14,12,4,6,13,13,4,4,7,6
1,1,44,56,15,12,7,5,9,8,7,3,5,6
1,1,72,28,10,13,3,5,9,16,1,2,11,2
3,1,61,39,14,5,3,3,9,17,2,2,6,4
4,2,63,37,22,6,10,3,7,9,2,2,10,4
3,1,74,26,15,7,6,2,6,13,6,1,4,2
1,0,45,55,10,8,2,1,11,8,3,6,5,4
0,1,40,60,11,13,2,5,13,12,4,3,6,12
1,1,62,38,12,13,4,4,7,7,7,1,5,8
1,2,49,51,18,18,7,8,12,12,0,5,9,5
6,1,67,33,18,13,8,6,14,9,1,1,4,4
2,3,49,51,16,10,7,8,11,8,5,3,5,1
1,0,42,58,10,16,2,1,12,11,4,2,8,9
2,2,42,58,16,7,3,2,10,16,2,0,6,4
0,3,52,48,11,12,1,5,16,3,1,1,5,5
4,1,80,20,19,2,7,1,6,4,0,4,8,0
0,4,30,70,7,24,1,8,14,10,5,0,4,4
2,1,54,46,14,14,10,6,15,12,7,0,8,4
3,0,48,52,12,13,6,7,9,13,3,3,3,3
0,1,48,52,4,13,1,6,13,13,4,4,3,6
0,0,50,50,22,6,4,0,9,12,1,3,7,2
1,1,64,36,21,11,7,3,17,5,7,1,8,0
1,0,40,60,7,25,1,7,11,8,0,1,1,10
0,1,68,32,27,8,6,2,13,17,1,1,10,2
5,0,69,31,24,5,10,0,11,5,0,0,10,1
2,0,60,40,20,7,4,3,13,17,1,0,10,5
4,2,40,60,22,9,5,4,15,16,0,0,4,4
3,1,69,31,19,8,6,2,10,10,2,1,6,4
0,1,48,52,13,11,1,2,9,6,3,2,2,4
2,2,62,38,21,7,6,4,9,17,2,1,5,3
0,0,57,43,9,8,2,4,11,14,0,4,6,4
0,1,44,56,13,10,4,2,8,10,3,2,10,6
0,2,45,55,10,9,1,3,23,13,2,1,8,3
1,5,49,51,21,9,4,7,11,12,4,1,4,2
0,4,47,53,14,10,2,7,11,9,1,2,10,7
1,0,75,25,19,8,7,6,7,11,0,3,6,2
0,3,35,65,15,21,6,6,13,11,0,0,4,12
1,2,51,49,8,17,2,8,10,11,5,0,2,10
1,1,32,68,6,18,3,2,9,11,3,0,1,10
0,0,49,51,7,6,2,2,10,10,2,5,2,6
3,2,73,27,18,13,10,8,16,8,1,0,10,6
1,0,35,65,9,17,4,4,12,8,5,1,2,9
0,1,67,33,11,7,4,2,11,13,1,1,6,3
2,0,80,20,28,4,8,1,4,10,0,2,10,3
1,2,54,46,20,3,5,2,11,15,2,1,10,2
2,1,44,56,11,10,5,2,9,12,2,2,3,3
3,0,51,49,19,6,6,0,13,13,6,0,12,1
0,2,41,59,6,12,1,5,11,5,1,0,5,9
1,1,47,53,10,13,4,6,7,9,2,2,4,4
3,1,49,51,8,9,3,4,12,12,2,4,4,9
2,0,49,51,14,17,6,6,11,7,0,2,8,6
0,2,53,47,9,10,5,6,17,16,1,1,3,0
2,0,63,37,9,14,2,5,11,17,1,3,6,6
4,0,38,62,12,19,5,5,17,6,1,2,3,8
0,0,28,72,6,17,1,6,11,9,2,3,1,8
2,0,62,38,9,10,5,6,17,12,1,2,5,9
3,1,62,38,18,9,8,2,10,16,1,0,3,1
0,5,21,79,2,21,2,10,6,4,2,1,1,10
0,0,62,38,16,6,4,3,8,11,2,1,9,5
3,0,61,39,12,7,4,1,7,10,4,1,5,4
1,2,29,71,8,16,4,7,15,9,2,0,5,7
1,1,61,39,15,11,3,6,11,9,5,6,8,8
1,1,64,36,15,11,6,8,5,17,3,2,5,4
1,2,39,61,1,2,0,0,4,4,2,0,7,1
2,2,51,49,14,12,5,4,10,13,2,2,1,4
1,0,59,41,30,7,7,2,10,9,1,1,8,2
4,1,76,24,12,3,4,1,5,7,0,0,4,4
0,1,53,47,3,4,0,2,4,9,1,2,0,0
3,0,61,39,12,5,6,2,3,6,3,1,7,3
4,2,52,48,2,4,1,1,3,7,1,1,0,0
1,2,60,40,11,17,3,10,17,16,3,2,5,4
1,2,43,57,14,9,5,6,9,11,2,4,6,8
1,3,56,44,16,9,4,4,15,12,3,0,4,2
2,3,28,72,14,17,3,11,12,14,3,1,3,9
2,0,73,27,24,8,6,1,10,7,2,1,7,6
2,2,41,59,15,10,5,5,12,14,2,4,7,1
1,1,58,42,11,9,1,6,13,14,1,0,4,3
1,2,51,49,12,10,5,4,9,12,3,2,4,4
0,2,43,57,4,16,0,7,5,10,1,1,1,4
2,1,78,22,24,3,8,2,5,13,2,1,4,0
0,2,51,49,20,19,6,6,11,12,0,1,7,4
2,1,34,66,7,11,3,2,9,8,2,2,3,10
0,1,48,52,13,15,3,6,10,11,1,0,4,4
1,0,70,30,22,6,8,2,8,14,1,3,8,5
4,2,64,36,25,12,12,2,11,8,1,5,6,4
0,0,58,42,5,14,1,4,8,10,1,1,7,7
1,2,19,81,6,15,2,3,16,8,2,2,4,5
2,1,44,56,13,9,5,3,14,11,1,3,6,3
2,2,50,50,17,11,5,3,12,10,5,0,6,2
1,2,52,48,11,8,5,5,13,11,1,0,11,3
1,1,29,71,11,18,2,6,13,8,4,3,5,9
0,3,57,43,23,9,5,5,11,16,2,1,5,2
3,1,61,39,17,13,10,5,16,13,3,3,7,2
3,2,62,38,24,15,11,6,12,9,3,3,5,1
1,2,61,39,11,12,5,5,14,10,0,0,6,4
3,1,60,40,25,10,11,3,9,5,1,3,6,3
6,1,77,23,32,5,14,1,9,4,1,1,10,3
0,2,37,63,8,16,2,6,6,13,2,2,6,7
3,2,33,67,6,9,3,3,16,13,2,2,3,5
0,0,51,49,12,12,1,6,14,16,2,0,5,5
2,1,58,42,13,15,7,4,8,20,2,3,2,6
1,3,58,42,8,9,3,6,8,19,2,4,5,2
2,0,43,57,6,11,2,3,10,8,0,1,1,9
2,0,53,47,19,6,5,0,10,16,0,3,8,2
0,0,48,52,18,16,3,6,10,9,2,5,8,5
2,0,63,37,12,10,4,1,11,9,0,2,7,4
0,3,37,63,6,13,1,4,9,8,2,1,2,5
0,2,66,34,15,12,6,10,9,11,2,3,5,5
2,2,57,43,11,8,4,5,8,7,2,3,3,6
2,1,46,54,8,13,6,4,11,8,4,2,2,5
0,2,42,58,9,17,3,8,11,14,7,2,2,10
1,2,40,60,15,15,2,5,11,12,1,0,3,5
4,0,65,35,18,5,8,2,14,9,5,3,5,4
3,1,57,43,15,14,4,7,10,13,4,1,6,6
5,4,64,36,14,17,6,9,9,13,2,4,4,4
0,1,30,70,8,13,3,2,8,10,4,2,1,12
1,2,58,42,27,8,11,5,12,9,1,5,6,0
1,0,51,49,7,7,1,3,6,11,5,1,6,5
2,0,59,41,11,7,5,1,10,11,1,1,4,2
5,0,64,36,16,6,8,2,6,7,0,0,4,5
1,2,41,59,7,13,2,2,18,12,2,2,1,7
0,0,79,21,15,5,2,3,9,4,1,1,10,1
1,0,32,68,12,10,4,5,12,9,2,0,3,1
1,0,32,68,11,16,4,3,5,3,1,2,5,6
2,1,39,61,11,9,8,1,9,11,5,3,2,5
1,1,54,46,9,11,3,5,14,12,2,4,3,4
1,0,45,55,13,12,5,3,10,10,4,1,11,6
1,0,26,74,9,18,1,5,13,12,2,0,5,9
0,2,54,46,13,13,2,3,8,9,2,2,8,3
2,1,59,41,16,8,3,3,12,7,2,1,9,0
2,1,40,60,14,14,6,7,12,11,1,2,5,8
0,0,44,56,10,10,4,2,5,17,4,3,3,4
0,1,51,49,10,11,3,3,13,9,1,3,1,2
0,2,54,46,9,7,2,5,9,8,1,3,5,3
5,0,50,50,15,6,9,1,11,9,1,0,8,2
1,4,25,75,4,19,1,8,5,11,4,1,0,7
0,0,72,28,20,5,2,1,7,14,2,2,9,2
2,0,61,39,13,13,3,5,11,10,3,3,4,0
0,1,63,37,17,9,2,2,8,13,0,2,5,1
1,1,43,57,8,16,3,7,15,5,2,0,3,8
0,0,52,48,14,6,4,1,17,13,0,1,4,3
1,1,78,22,22,3,5,2,7,10,2,0,10,0
2,2,38,62,13,9,6,3,12,5,1,2,7,4
0,2,44,56,13,13,2,4,9,8,1,3,8,5
1,0,56,44,9,9,1,2,10,11,4,1,4,6
0,0,54,46,11,6,3,2,10,10,3,2,11,3
5,0,83,17,19,4,12,1,6,8,4,1,6,1
1,1,36,64,8,16,5,6,6,5,0,0,3,5
4,1,68,32,20,11,8,4,11,9,1,1,8,6
2,1,28,72,8,15,4,3,11,9,1,2,2,5
3,0,62,38,20,6,7,1,9,9,4,4,7,5
3,2,50,50,15,12,8,3,12,16,3,1,5,6
2,3,42,58,10,17,7,5,13,14,1,2,4,7
1,1,51,49,17,12,7,3,10,11,1,0,6,3
2,1,39,61,8,15,3,6,9,10,0,1,4,8
1,3,48,52,8,17,3,6,11,12,5,1,5,7
1,1,62,38,18,11,6,7,15,21,5,3,10,1
1,0,49,51,9,4,1,2,9,8,2,1,9,6
0,1,70,30,14,10,4,4,8,13,4,1,4,4
1,2,60,40,14,7,5,4,18,12,3,2,11,1
2,2,53,47,21,13,5,6,8,9,3,1,11,3
1,1,41,59,13,15,4,5,13,7,3,3,5,3
0,0,38,62,6,10,1,3,12,7,4,1,3,2
2,3,65,35,20,5,6,4,17,9,0,2,8,4
1,2,66,34,8,8,1,4,7,14,3,3,7,5
3,2,65,35,13,15,7,8,11,7,1,2,8,6
1,1,52,48,15,7,3,1,15,5,6,1,6,1
1,2,33,67,10,15,4,4,19,8,2,3,6,3
1,1,59,41,23,5,6,2,7,11,2,2,10,6
2,2,50,50,16,13,5,6,16,6,3,4,7,4
1,2,47,53,8,11,3,4,12,9,2,2,1,6
1,0,63,37,18,4,3,0,9,10,3,1,3,3
0,2,46,54,15,6,3,4,11,13,6,1,6,1
1,2,32,68,6,16,3,6,6,8,1,1,4,6
1,3,18,82,6,18,2,4,10,8,2,3,2,11
3,0,70,30,24,8,11,2,9,13,3,3,6,5
2,0,66,34,11,3,5,2,5,13,5,1,3,3
1,3,49,51,14,12,4,6,4,11,4,3,5,5
3,2,66,34,14,16,5,8,18,10,1,0,7,2
3,1,40,60,19,14,10,7,7,12,6,1,6,6
3,1,75,25,5,2,1,1,2,1,0,0,0,0
1,2,39,61,5,16,2,5,9,11,3,1,3,2
0,2,55,45,6,18,2,6,11,12,1,2,4,7
1,2,43,57,9,16,4,9,13,12,0,4,1,9
0,0,44,56,9,16,2,6,12,12,1,2,1,6
1,0,63,37,11,14,7,3,10,8,4,1,6,4
0,1,53,47,11,13,3,8,7,15,2,0,7,6
5,0,58,42,13,4,10,1,5,4,6,3,6,1
2,1,61,39,17,11,5,6,6,9,1,1,3,2
2,0,59,41,13,10,3,4,10,14,2,1,10,3
0,3,52,48,13,7,4,4,13,7,1,3,5,1
2,1,62,38,27,9,11,2,8,9,2,2,12,3
1,4,44,56,6,14,2,6,6,7,1,2,7,6
2,1,32,68,5,14,2,2,10,16,3,0,1,13
0,2,23,77,3,17,0,6,6,8,2,4,3,10
3,0,37,63,7,6,5,2,10,10,1,1,2,6
0,0,81,19,30,0,4,0,9,9,2,3,12,0
1,4,37,63,14,12,3,8,10,7,0,3,4,5
3,0,60,40,11,11,7,4,12,9,5,3,4,9
2,1,32,68,13,15,6,7,13,12,6,0,6,11
1,1,55,45,23,8,4,3,11,7,3,2,13,1
1,0,71,29,13,3,3,0,8,9,2,1,5,2
2,1,54,46,21,10,8,4,9,12,4,2,10,4
2,0,74,26,15,3,7,3,6,8,4,2,8,1
2,3,30,70,10,17,4,8,10,8,2,2,3,7
2,0,71,29,14,7,3,2,7,9,4,1,8,3
0,0,65,35,18,12,6,3,8,13,2,2,15,4
1,0,53,47,15,9,4,2,11,12,3,1,4,6
4,1,45,55,9,7,8,2,9,14,0,5,4,5
2,1,44,56,10,14,5,7,13,12,1,6,3,4
1,0,54,46,13,7,5,2,10,9,0,1,6,5
1,2,53,47,10,16,3,7,11,9,7,5,6,3
0,3,46,54,10,9,5,5,11,11,0,1,6,1
2,2,63,37,18,15,5,4,12,10,0,4,8,1
1,1,50,50,9,13,3,6,8,14,1,0,7,5
1,1,66,34,19,6,9,2,10,16,0,2,13,1
4,1,48,52,16,11,5,1,17,6,3,0,3,5
0,1,24,76,5,14,3,4,12,5,0,1,3,13
4,1,68,32,21,7,12,4,7,7,1,2,8,2
1,0,50,50,18,6,6,1,13,9,1,6,10,2
4,1,51,49,15,7,4,2,12,12,3,5,2,6
1,1,57,43,15,14,3,6,6,10,2,3,7,4
1,0,57,43,13,13,4,1,10,9,2,0,5,2
3,1,53,47,11,16,5,4,14,15,2,1,8,7
5,1,70,30,19,2,11,2,10,12,1,2,8,2
0,2,52,48,6,16,4,4,5,8,5,0,3,1
1,0,36,64,10,13,3,4,12,15,2,2,0,10
2,0,36,64,8,11,4,4,11,7,3,1,8,7
3,0,57,43,20,8,8,1,11,11,1,3,8,7
4,1,45,55,21,7,8,3,11,8,1,1,6,2
5,1,58,42,15,10,7,2,8,8,1,3,4,6
2,0,74,26,16,4,7,0,5,19,4,0,5,2
1,1,29,71,8,20,3,7,9,6,1,0,3,13
1,1,54,46,20,12,6,8,11,8,4,3,5,6
2,3,39,61,9,13,3,5,12,10,1,2,5,7
2,1,57,43,15,13,8,4,14,19,2,6,8,1
1,1,60,40,13,3,5,1,9,8,5,0,3,3
2,2,34,66,9,13,3,6,15,9,2,2,3,7
3,1,54,46,21,4,5,1,11,7,3,3,4,1
2,0,53,47,22,6,6,3,10,13,1,9,6,3
0,0,48,52,11,11,4,2,12,12,5,0,2,6
3,0,74,26,19,3,10,1,10,10,0,0,9,1
0,3,66,34,21,11,5,5,5,12,4,2,8,5
1,1,66,34,18,9,3,2,8,10,0,4,7,2
1,1,52,48,14,11,4,2,15,15,2,0,7,4
2,1,44,56,9,8,4,2,10,10,3,0,5,5
3,1,26,74,12,9,4,4,4,8,0,3,4,3
1,1,40,60,8,9,3,3,11,15,2,0,5,3
0,3,25,75,5,14,1,7,8,8,3,2,1,4
1,1,48,52,12,8,4,3,8,7,5,5,6,3
0,4,42,58,10,14,3,10,12,5,4,0,5,3
4,1,63,37,16,9,10,5,6,8,3,1,5,10
2,0,48,52,11,6,6,3,18,13,10,0,3,2
1,0,28,72,3,21,2,4,5,9,1,1,3,9
0,1,48,52,14,12,3,2,7,13,1,2,5,4
3,1,80,20,21,6,9,4,5,10,4,2,18,0
1,1,41,59,10,17,4,2,8,15,2,1,2,9
2,0,53,47,9,11,5,3,11,10,5,3,4,5
1,1,57,43,9,15,4,5,15,10,0,0,0,3
2,1,40,60,13,12,5,3,8,10,0,4,4,5
2,0,44,56,15,13,4,1,8,15,3,2,10,6
1,0,44,56,17,8,2,2,16,10,0,4,3,2
4,0,61,39,20,7,10,0,11,15,2,7,3,3
0,0,55,45,17,14,7,1,14,13,5,3,6,3
4,3,36,64,16,11,7,4,10,7,3,3,5,6
2,2,56,44,16,10,4,4,11,13,0,3,5,4
3,0,60,40,20,11,9,5,14,10,4,0,6,1
1,1,42,58,12,8,4,5,11,10,2,0,4,5
1,4,65,35,8,8,2,6,7,9,0,5,7,3
2,2,49,51,15,26,6,8,13,9,1,0,5,12
2,2,58,42,14,19,6,6,11,11,2,3,10,8
1,2,61,39,10,11,3,4,8,11,1,0,4,7
3,0,51,49,11,6,5,1,7,9,4,1,4,1
1,2,42,58,13,19,4,5,4,12,1,2,3,9
0,2,40,60,12,21,0,6,11,10,1,1,6,6
0,1,59,41,11,14,4,6,10,11,2,0,10,5
0,2,32,68,8,12,1,5,12,9,4,2,6,5
3,1,77,23,18,7,7,4,8,12,1,3,9,1
2,1,53,47,13,12,5,3,12,12,1,1,3,4
1,1,35,65,14,14,3,4,14,9,1,2,5,6
0,0,45,55,11,10,2,3,11,10,1,2,3,6
0,0,57,43,3,11,1,4,14,14,0,3,5,4
2,1,47,53,18,6,7,1,8,13,0,5,4,4
2,1,61,39,18,7,6,1,7,3,4,3,7,1
0,0,25,75,10,15,2,4,14,11,4,2,7,8
0,0,54,46,15,8,3,3,12,13,1,2,10,7
5,0,58,42,21,1,12,1,5,10,3,2,7,0
1,2,51,49,9,9,4,4,14,13,3,2,1,8
1,1,71,29,31,3,8,1,10,6,3,3,7,1
2,3,35,65,16,16,2,9,12,7,1,3,5,4
2,0,67,33,25,8,8,1,8,8,2,2,13,1
2,2,71,29,24,3,6,2,10,14,0,1,12,2
0,0,53,47,17,7,3,3,14,13,1,1,10,2
2,1,50,50,11,11,1,5,7,13,4,6,8,8
0,1,22,78,6,22,2,6,11,6,4,4,3,8
5,2,57,43,16,16,7,6,8,15,1,1,3,8
1,1,58,42,18,15,7,7,9,12,2,2,8,5
5,0,55,45,22,7,9,4,5,8,3,0,4,2
3,3,56,44,25,10,10,5,12,14,0,2,7,4
4,0,79,21,14,5,5,1,8,7,4,2,4,6
0,0,32,68,5,25,0,8,8,4,2,4,2,7
1,1,64,36,7,13,2,5,13,11,1,1,6,3
1,1,53,47,12,10,6,2,16,9,3,4,9,1
